ID,SC,WC,NC,LC
1495105-2282306375-72157603991467194,7,127,8,7
1495105-2282306375-72157604013566645,6,80,7,6
1495105-2282306375-72157622115476618,4,45,3,1
121392-5683637008-72157626637656106,3,26,2,0
121392-5683637008-72157626639525564,3,46,5,0
121392-5683637008-72157626517822451,5,28,3,0
121392-5683637008-72157626522014219,3,47,1,0
121392-5683637008-72157626523677685,2,32,0,0
121392-5683637008-72157628395189507,1,71,5,2
7673078-4711475459-72157624178089817,9,136,3,0
7673078-4711475459-72157624302803904,1,29,0,0
7673078-4711475459-72157624178189307,2,33,0,0
7673078-4711475459-72157624178220397,2,26,2,0
7673078-4711475459-72157624178238023,4,48,2,0
7673078-4711475459-72157624303193102,2,35,2,0
7673078-4711475459-72157624178623771,8,96,10,0
7673078-4711475459-72157624179113647,5,29,0,1
7673078-4711475459-72157624303859392,1,30,3,1
7673078-4711475459-72157624180136517,4,55,2,0
7673078-4711475459-72157624305335486,4,26,0,1
7673078-4711475459-72157624305339478,4,45,5,2
7673078-4711475459-72157624180835197,1,34,7,0
7673078-4711475459-72157624180913405,3,26,1,0
7673078-4711475459-72157624307315866,3,38,0,3
7673078-4711475459-72157624307343884,3,34,1,0
7673078-4711475459-72157624307423128,2,35,3,0
7673078-4711475459-72157624183149783,5,78,1,3
7673078-4711475459-72157624183215561,7,56,3,0
7673078-4711475459-72157624309079676,5,26,2,0
7673078-4711475459-72157624309865196,1,30,0,1
7673078-4711475459-72157624309971988,3,49,1,4
7673078-4711475459-72157624310072540,2,52,4,6
7673078-4711475459-72157624310630610,3,41,1,1
7673078-4711475459-72157624310756612,3,32,2,1
7673078-4711475459-72157624312850232,3,61,3,0
7673078-4711475459-72157624188489111,3,50,2,5
7673078-4711475459-72157624314615550,7,65,1,0
7673078-4711475459-72157624315385438,10,122,7,0
7673078-4711475459-72157624315562900,4,41,1,1
7673078-4711475459-72157624191751355,4,55,0,2
7673078-4711475459-72157624317931436,5,45,2,3
7673078-4711475459-72157624193796861,3,33,1,0
7673078-4711475459-72157624195301425,4,52,3,0
7673078-4711475459-72157624320829486,4,30,1,1
7673078-4711475459-72157624199434991,2,36,0,0
7673078-4711475459-72157624205900351,10,69,3,3
7673078-4711475459-72157624206596943,2,29,0,1
7673078-4711475459-72157624209316163,3,50,1,0
7673078-4711475459-72157624335107978,6,115,1,10
7673078-4711475459-72157624221165769,3,60,3,3
7673078-4711475459-72157624225719359,8,58,4,1
7673078-4711475459-72157624352955628,6,66,2,2
7673078-4711475459-72157624260439621,1,35,2,1
7673078-4711475459-72157624392815470,4,27,0,0
7673078-4711475459-72157624425839164,4,64,2,1
7673078-4711475459-72157624336751145,2,31,4,3
7673078-4711475459-72157624466452504,2,29,0,0
7673078-4711475459-72157624469796528,3,53,2,3
7673078-4711475459-72157624363183391,4,62,0,0
7673078-4711475459-72157624487835360,1,68,1,0
7673078-4711475459-72157624531220925,1,32,9,3
7673078-4711475459-72157624902140860,2,36,6,0
7673078-4711475459-72157626125262148,3,53,4,2
1128847-2212865106-72157603778873623,4,31,1,0
1128847-2212865106-72157603775556744,4,35,0,4
1128847-2212865106-72157603775569048,3,35,0,3
1128847-2212865106-72157603775852880,5,115,2,0
1128847-2212865106-72157603775972428,3,28,1,0
1128847-2212865106-72157603776842858,3,36,2,3
1128847-2212865106-72157603776922460,4,28,0,0
1128847-2212865106-72157603777852004,2,41,1,0
1128847-2212865106-72157603778312742,6,75,2,2
1128847-2212865106-72157603778657372,7,85,7,0
1128847-2212865106-72157603782176821,3,36,1,0
1128847-2212865106-72157603780638892,7,77,2,4
1128847-2212865106-72157603783925258,6,46,0,2
1128847-2212865106-72157603787355615,3,37,2,0
1128847-2212865106-72157603789106695,3,58,3,0
1128847-2212865106-72157603918542882,2,40,1,1
1128847-2212865106-72157603952658775,4,31,0,0
1128847-2212865106-72157606958875858,5,38,0,0
1128847-2212865106-72157609184087457,4,37,1,3
1128847-2212865106-72157611224923944,4,44,3,0
1128847-2212865106-72157611620907152,2,28,0,1
1128847-2212865106-72157612880755730,2,28,0,3
1128847-2212865106-72157621915241849,1,29,4,2
1128847-2212865106-72157622783754915,1,28,3,1
1128847-2212865106-72157623985391900,1,27,3,1
1128847-2212865106-72157625174088577,4,37,5,7
1128847-2212865106-72157632188697022,3,38,0,0
1128847-2212865106-72157632186138805,3,41,0,1
